team,player_name,position,shirt_number,club
Czech Republic,Matěj Kovář,GK,1,PSV Eindhoven
Czech Republic,David Zima,DF,2,Slavia Prague
Czech Republic,Tomáš Holeš,DF,3,Slavia Prague
Czech Republic,Robin Hranáč,DF,4,TSG Hoffenheim
Czech Republic,Vladimír Coufal,DF,5,TSG Hoffenheim
Czech Republic,Štěpán Chaloupek,DF,6,Slavia Prague
Czech Republic,Ladislav Krejčí,DF,7,Wolverhampton Wanderers
Czech Republic,Vladimír Darida,MF,8,Hradec Králové
Czech Republic,Adam Hložek,FW,9,TSG Hoffenheim
Czech Republic,Patrik Schick,FW,10,Bayer Leverkusen
Czech Republic,Jan Kuchta,FW,11,Sparta Prague
Czech Republic,Lukáš Červ,MF,12,Viktoria Plzeň
Czech Republic,Mojmír Chytil,FW,13,Slavia Prague
Czech Republic,David Jurásek,DF,14,Slavia Prague
Czech Republic,Pavel Šulc,FW,15,Lyon
Czech Republic,Jindřich Staněk,GK,16,Slavia Prague
Czech Republic,Lukáš Provod,MF,17,Slavia Prague
Czech Republic,Michal Sadílek,MF,18,Slavia Prague
Czech Republic,Tomáš Chorý,FW,19,Slavia Prague
Czech Republic,Jaroslav Zelený,DF,20,Sparta Prague
Czech Republic,David Douděra,DF,21,Slavia Prague
Czech Republic,Tomáš Souček,MF,22,West Ham United
Czech Republic,Lukáš Horníček,GK,23,Braga
Czech Republic,Alexandr Sojka,MF,24,Viktoria Plzeň
Czech Republic,Hugo Sochůrek,MF,25,Sparta Prague
Czech Republic,Denis Višinský,FW,26,Viktoria Plzeň
Mexico,Raúl Rangel,GK,1,Guadalajara
Mexico,Jorge Sánchez,DF,2,PAOK
Mexico,César Montes,DF,3,Lokomotiv Moscow
Mexico,Edson Álvarez,DF,4,Fenerbahçe
Mexico,Johan Vásquez,DF,5,Genoa
Mexico,Érik Lira,MF,6,Cruz Azul
Mexico,Luis Romo,MF,7,Guadalajara
Mexico,Álvaro Fidalgo,MF,8,Real Betis
Mexico,Raúl Jiménez,FW,9,Fulham
Mexico,Alexis Vega,FW,10,Toluca
Mexico,Santiago Giménez,FW,11,AC Milan
Mexico,Carlos Acevedo,GK,12,Santos Laguna
Mexico,Guillermo Ochoa,GK,13,AEL Limassol
Mexico,Armando González,FW,14,Guadalajara
Mexico,Israel Reyes,DF,15,América
Mexico,Julián Quiñones,FW,16,Al-Qadsiah
Mexico,Orbelín Pineda,MF,17,AEK Athens
Mexico,Obed Vargas,MF,18,Atlético Madrid
Mexico,Gilberto Mora,MF,19,Tijuana
Mexico,Mateo Chávez,DF,20,AZ
Mexico,César Huerta,FW,21,Anderlecht
Mexico,Guillermo Martínez,FW,22,Pumas
Mexico,Jesús Gallardo,DF,23,Toluca
Mexico,Luis Chávez,MF,24,Dynamo Moscow
Mexico,Roberto Alvarado,FW,25,Guadalajara
Mexico,Brian Gutiérrez,MF,26,Guadalajara
South Africa,Ronwen Williams,GK,1,Mamelodi Sundowns
South Africa,Thabang Matuludi,DF,2,Polokwane City
South Africa,Khulumani Ndamane,DF,3,Mamelodi Sundowns
South Africa,Teboho Mokoena,MF,4,Mamelodi Sundowns
South Africa,Thalente Mbatha,MF,5,Orlando Pirates
South Africa,Aubrey Modiba,DF,6,Mamelodi Sundowns
South Africa,Oswin Appollis,FW,7,Orlando Pirates
South Africa,Tshepang Moremi,FW,8,Orlando Pirates
South Africa,Lyle Foster,FW,9,Burnley
South Africa,Relebohile Mofokeng,FW,10,Orlando Pirates
South Africa,Themba Zwane,MF,11,Mamelodi Sundowns
South Africa,Thapelo Maseko,FW,12,AEL Limassol
South Africa,Sphephelo Sithole,MF,13,Tondela
South Africa,Mbekezeli Mbokazi,DF,14,Chicago Fire FC
South Africa,Iqraam Rayners,FW,15,Mamelodi Sundowns
South Africa,Sipho Chaine,GK,16,Orlando Pirates
South Africa,Evidence Makgopa,FW,17,Orlando Pirates
South Africa,Samukele Kabini,DF,18,Molde
South Africa,Nkosinathi Sibisi,DF,19,Orlando Pirates
South Africa,Khuliso Mudau,DF,20,Mamelodi Sundowns
South Africa,Ime Okon,DF,21,Hannover 96
South Africa,Ricardo Goss,GK,22,Siwelele
South Africa,Jayden Adams,MF,23,Mamelodi Sundowns
South Africa,Olwethu Makhanya,DF,24,Philadelphia Union
South Africa,Kamogelo Sebelebele,FW,25,Orlando Pirates
South Africa,Bradley Cross,DF,26,Kaizer Chiefs
South Korea,Kim Seung-gyu,GK,1,FC Tokyo
South Korea,Lee Han-beom,DF,2,Midtjylland
South Korea,Lee Gi-hyuk,MF,3,Gangwon FC
South Korea,Kim Min-jae,DF,4,Bayern Munich
South Korea,Kim Tae-hyeon,DF,5,Kashima Antlers
South Korea,Hwang In-beom,MF,6,Feyenoord
South Korea,Son Heung-min,FW,7,Los Angeles FC
South Korea,Paik Seung-ho,MF,8,Birmingham City
South Korea,Cho Gue-sung,FW,9,Midtjylland
South Korea,Lee Jae-sung,MF,10,Mainz 05
South Korea,Hwang Hee-chan,MF,11,Wolverhampton Wanderers
South Korea,Song Bum-keun,GK,12,Jeonbuk Hyundai Motors
South Korea,Lee Tae-seok,DF,13,Austria Wien
South Korea,Cho Wi-je,DF,14,Jeonbuk Hyundai Motors
South Korea,Kim Moon-hwan,DF,15,Daejeon Hana Citizen
South Korea,Park Jin-seob,DF,16,Zhejiang
South Korea,Bae Jun-ho,MF,17,Stoke City
South Korea,Oh Hyeon-gyu,FW,18,Beşiktaş
South Korea,Lee Kang-in,MF,19,Paris Saint-Germain
South Korea,Yang Hyun-jun,MF,20,Celtic
South Korea,Jo Hyeon-woo,GK,21,Ulsan HD
South Korea,Seol Young-woo,DF,22,Red Star Belgrade
South Korea,Jens Castrop,DF,23,Borussia Mönchengladbach
South Korea,Kim Jin-gyu,MF,24,Jeonbuk Hyundai Motors
South Korea,Eom Ji-sung,MF,25,Swansea City
South Korea,Lee Dong-gyeong,MF,26,Ulsan HD
Bosnia and Herzegovina,Nikola Vasilj,GK,1,FC St. Pauli
Bosnia and Herzegovina,Nihad Mujakić,DF,2,Gaziantep
Bosnia and Herzegovina,Dennis Hadžikadunić,DF,3,Sampdoria
Bosnia and Herzegovina,Tarik Muharemović,DF,4,Sassuolo
Bosnia and Herzegovina,Sead Kolašinac,DF,5,Atalanta
Bosnia and Herzegovina,Benjamin Tahirović,MF,6,Brøndby
Bosnia and Herzegovina,Amar Dedić,DF,7,Benfica
Bosnia and Herzegovina,Armin Gigović,MF,8,Young Boys
Bosnia and Herzegovina,Samed Baždar,FW,9,Jagiellonia Białystok
Bosnia and Herzegovina,Ermedin Demirović,FW,10,VfB Stuttgart
Bosnia and Herzegovina,Edin Džeko,FW,11,Schalke 04
Bosnia and Herzegovina,Mladen Jurkas,GK,12,Borac Banja Luka
Bosnia and Herzegovina,Ivan Bašić,MF,13,Astana
Bosnia and Herzegovina,Ivan Šunjić,MF,14,Pafos
Bosnia and Herzegovina,Amar Memić,MF,15,Viktoria Plzeň
Bosnia and Herzegovina,Amir Hadžiahmetović,MF,16,Hull City
Bosnia and Herzegovina,Dženis Burnić,MF,17,Karlsruher SC
Bosnia and Herzegovina,Nikola Katić,DF,18,Schalke 04
Bosnia and Herzegovina,Kerim Alajbegović,FW,19,Red Bull Salzburg
Bosnia and Herzegovina,Esmir Bajraktarević,FW,20,PSV Eindhoven
Bosnia and Herzegovina,Stjepan Radeljić,DF,21,Rijeka
Bosnia and Herzegovina,Martin Zlomislić,GK,22,Rijeka
Bosnia and Herzegovina,Haris Tabaković,FW,23,Borussia Mönchengladbach
Bosnia and Herzegovina,Arjan Malić,DF,24,Sturm Graz
Bosnia and Herzegovina,Jovo Lukić,FW,25,Universitatea Cluj
Bosnia and Herzegovina,Ermin Mahmić,MF,26,Slovan Liberec
Canada,Dayne St. Clair,GK,1,Inter Miami CF
Canada,Alistair Johnston,DF,2,Celtic
Canada,Alfie Jones,DF,3,Middlesbrough
Canada,Luc de Fougerolles,DF,4,Dender
Canada,Joel Waterman,DF,5,Chicago Fire FC
Canada,Mathieu Choinière,MF,6,Los Angeles FC
Canada,Stephen Eustáquio,MF,7,Los Angeles FC
Canada,Ismaël Koné,MF,8,Sassuolo
Canada,Cyle Larin,FW,9,Southampton
Canada,Jonathan David,FW,10,Juventus
Canada,Liam Millar,MF,11,Hull City
Canada,Tani Oluwaseyi,FW,12,Villarreal
Canada,Derek Cornelius,DF,13,Rangers
Canada,Jacob Shaffelburg,MF,14,Los Angeles FC
Canada,Moïse Bombito,DF,15,Nice
Canada,Maxime Crépeau,GK,16,Orlando City SC
Canada,Tajon Buchanan,FW,17,Villarreal
Canada,Owen Goodman,GK,18,Barnsley
Canada,Alphonso Davies,DF,19,Bayern Munich
Canada,Ali Ahmed,FW,20,Norwich City
Canada,Jonathan Osorio,MF,21,Toronto FC
Canada,Richie Laryea,DF,22,Toronto FC
Canada,Niko Sigur,DF,23,Hajduk Split
Canada,Promise David,FW,24,Union Saint-Gilloise
Canada,Nathan Saliba,MF,25,Anderlecht
Canada,Jayden Nelson,FW,26,Austin FC
Qatar,Mahmud Abunada,GK,1,Al-Rayyan
Qatar,Pedro Miguel,DF,2,Al-Sadd
Qatar,Lucas Mendes,DF,3,Al-Wakrah
Qatar,Issa Laye,DF,4,Al-Arabi
Qatar,Jassem Gaber,DF,5,Al-Rayyan
Qatar,Abdulaziz Hatem,MF,6,Al-Rayyan
Qatar,Ahmed Alaaeldin,FW,7,Al-Rayyan
Qatar,Edmilson Junior,FW,8,Al-Duhail
Qatar,Mohammed Muntari,FW,9,Al-Gharafa
Qatar,Hassan Al-Haydos,FW,10,Al-Sadd
Qatar,Akram Afif,FW,11,Al-Sadd
Qatar,Karim Boudiaf,MF,12,Al-Duhail
Qatar,Ayoub Al-Oui,DF,13,Al-Gharafa
Qatar,Homam Ahmed,DF,14,Cultural Leonesa
Qatar,Yusuf Abdurisag,FW,15,Al-Wakrah
Qatar,Boualem Khoukhi,DF,16,Al-Sadd
Qatar,Ahmed Al-Ganehi,MF,17,Al-Gharafa
Qatar,Sultan Al-Brake,DF,18,Al-Duhail
Qatar,Almoez Ali,FW,19,Al-Duhail
Qatar,Ahmed Fathy,MF,20,Al-Arabi
Qatar,Salah Zakaria,GK,21,Al-Duhail
Qatar,Meshaal Barsham,GK,22,Al-Sadd
Qatar,Assim Madibo,MF,23,Al-Wakrah
Qatar,Tahsin Jamshid,FW,24,Al-Duhail
Qatar,Al-Hashmi Al-Hussain,DF,25,Al-Arabi
Qatar,Mohamed Manai,FW,26,Al-Shamal
Switzerland,Gregor Kobel,GK,1,Borussia Dortmund
Switzerland,Miro Muheim,DF,2,Hamburger SV
Switzerland,Silvan Widmer,DF,3,Mainz 05
Switzerland,Nico Elvedi,DF,4,Borussia Mönchengladbach
Switzerland,Manuel Akanji,DF,5,Inter Milan
Switzerland,Denis Zakaria,MF,6,Monaco
Switzerland,Breel Embolo,FW,7,Rennes
Switzerland,Remo Freuler,MF,8,Bologna
Switzerland,Johan Manzambi,MF,9,SC Freiburg
Switzerland,Granit Xhaka,MF,10,Sunderland
Switzerland,Dan Ndoye,FW,11,Nottingham Forest
Switzerland,Yvon Mvogo,GK,12,Lorient
Switzerland,Ricardo Rodriguez,DF,13,Real Betis
Switzerland,Ardon Jashari,MF,14,Milan
Switzerland,Djibril Sow,MF,15,Sevilla
Switzerland,Christian Fassnacht,FW,16,Young Boys
Switzerland,Rubén Vargas,FW,17,Sevilla
Switzerland,Eray Cömert,DF,18,Valencia
Switzerland,Noah Okafor,FW,19,Leeds United
Switzerland,Michel Aebischer,MF,20,Pisa
Switzerland,Marvin Keller,GK,21,Young Boys
Switzerland,Fabian Rieder,MF,22,FC Augsburg
Switzerland,Zeki Amdouni,FW,23,Burnley
Switzerland,Aurèle Amenda,DF,24,Eintracht Frankfurt
Switzerland,Luca Jaquez,DF,25,VfB Stuttgart
Switzerland,Cedric Itten,FW,26,Fortuna Düsseldorf
Brazil,Alisson,GK,1,Liverpool
Brazil,Éderson Silva,MF,2,Atalanta
Brazil,Gabriel Magalhães,DF,3,Arsenal
Brazil,Marquinhos,DF,4,Paris Saint-Germain
Brazil,Casemiro,MF,5,Manchester United
Brazil,Alex Sandro,DF,6,Flamengo
Brazil,Vinícius Júnior,FW,7,Real Madrid
Brazil,Bruno Guimarães,MF,8,Newcastle United
Brazil,Matheus Cunha,FW,9,Manchester United
Brazil,Neymar,FW,10,Santos
Brazil,Raphinha,FW,11,Barcelona
Brazil,Weverton,GK,12,Grêmio
Brazil,Danilo Luiz,DF,13,Flamengo
Brazil,Bremer,DF,14,Juventus
Brazil,Léo Pereira,DF,15,Flamengo
Brazil,Douglas Santos,DF,16,Zenit Saint Petersburg
Brazil,Fabinho,MF,17,Al-Ittihad
Brazil,Danilo Santos,MF,18,Botafogo
Brazil,Endrick,FW,19,Lyon
Brazil,Lucas Paquetá,MF,20,Flamengo
Brazil,Luiz Henrique,FW,21,Zenit Saint Petersburg
Brazil,Gabriel Martinelli,FW,22,Arsenal
Brazil,Ederson Moraes,GK,23,Fenerbahçe
Brazil,Roger Ibañez,DF,24,Al-Ahli
Brazil,Igor Thiago,FW,25,Brentford
Brazil,Rayan,FW,26,Bournemouth
Haiti,Johny Placide,GK,1,Bastia
Haiti,Carlens Arcus,DF,2,Angers
Haiti,Keeto Thermoncy,DF,3,Young Boys
Haiti,Ricardo Adé,DF,4,LDU Quito
Haiti,Hannes Delcroix,DF,5,Lugano
Haiti,Carl Sainté,MF,6,El Paso Locomotive FC
Haiti,Derrick Etienne Jr.,FW,7,Toronto FC
Haiti,Martin Expérience,DF,8,Nancy
Haiti,Duckens Nazon,FW,9,Esteghlal
Haiti,Jean-Ricner Bellegarde,MF,10,Wolverhampton Wanderers
Haiti,Louicius Deedson,FW,11,FC Dallas
Haiti,Alexandre Pierre,GK,12,Sochaux
Haiti,Duke Lacroix,DF,13,Colorado Springs Switchbacks FC
Haiti,Garven Metusala,DF,14,Colorado Springs Switchbacks FC
Haiti,Ruben Providence,FW,15,Almere City
Haiti,Lenny Joseph,FW,16,Ferencváros
Haiti,Danley Jean Jacques,MF,17,Philadelphia Union
Haiti,Wilson Isidor,FW,18,Sunderland
Haiti,Yassin Fortuné,FW,19,Vizela
Haiti,Frantzdy Pierrot,FW,20,Çaykur Rizespor
Haiti,Josué Casimir,FW,21,Auxerre
Haiti,Jean-Kévin Duverne,DF,22,Gent
Haiti,Josué Duverger,GK,23,Cosmos Koblenz
Haiti,Wilguens Paugain,DF,24,Zulte Waregem
Haiti,Dominique Simon,MF,25,Tatran Prešov
Haiti,Woodensky Pierre,MF,26,Violette
Morocco,Yassine Bounou,GK,1,Al-Hilal
Morocco,Achraf Hakimi,DF,2,Paris Saint-Germain
Morocco,Noussair Mazraoui,DF,3,Manchester United
Morocco,Sofyan Amrabat,MF,4,Real Betis
Morocco,Marwane Saâdane,DF,5,Al-Fateh
Morocco,Ayyoub Bouaddi,MF,6,Lille
Morocco,Chemsdine Talbi,MF,7,Sunderland
Morocco,Azzedine Ounahi,MF,8,Girona
Morocco,Soufiane Rahimi,FW,9,Al Ain
Morocco,Brahim Díaz,FW,10,Real Madrid
Morocco,Ismael Saibari,MF,11,PSV Eindhoven
Morocco,Munir Mohamedi,GK,12,RS Berkane
Morocco,Zakaria El Ouahdi,DF,13,Genk
Morocco,Issa Diop,DF,14,Fulham
Morocco,Samir El Mourabet,MF,15,Strasbourg
Morocco,Gessime Yassine,MF,16,Strasbourg
